x y z
0.00000000e+00 3.86197814e-05 0.00000000e+00
0.00000000e+00 1.15778265e-04 5.00000000e-01
0.00000000e+00 1.60019065e-04 1.00000000e+00
0.00000000e+00 1.70187885e-04 1.50000000e+00
0.00000000e+00 1.61440700e-04 2.00000000e+00
0.00000000e+00 1.43749615e-04 2.50000000e+00
0.00000000e+00 1.21015361e-04 3.00000000e+00
0.00000000e+00 9.46490121e-05 3.50000000e+00
0.00000000e+00 6.54926837e-05 4.00000000e+00
0.00000000e+00 3.44381196e-05 4.50000000e+00
0.00000000e+00 2.54094864e-06 5.00000000e+00
0.00000000e+00 -2.90166239e-05 5.50000000e+00
0.00000000e+00 -5.89988006e-05 6.00000000e+00
0.00000000e+00 -8.61915312e-05 6.50000000e+00
0.00000000e+00 -1.09471310e-04 7.00000000e+00
0.00000000e+00 -1.27864901e-04 7.50000000e+00
0.00000000e+00 -1.40598841e-04 8.00000000e+00
0.00000000e+00 -1.47137775e-04 8.50000000e+00
0.00000000e+00 -1.47210827e-04 9.00000000e+00
0.00000000e+00 -1.40825399e-04 9.50000000e+00
0.00000000e+00 -1.28268161e-04 1.00000000e+01
0.00000000e+00 -1.10093412e-04 1.05000000e+01
0.00000000e+00 -8.70994595e-05 1.10000000e+01
0.00000000e+00 -6.02941540e-05 1.15000000e+01
0.00000000e+00 -3.08511398e-05 1.20000000e+01
0.00000000e+00 -5.87704510e-08 1.25000000e+01
0.00000000e+00 3.07360468e-05 1.30000000e+01
0.00000000e+00 6.01866075e-05 1.35000000e+01
0.00000000e+00 8.70051876e-05 1.40000000e+01
0.00000000e+00 1.10019263e-04 1.45000000e+01
0.00000000e+00 1.28222712e-04 1.50000000e+01
0.00000000e+00 1.40819753e-04 1.55000000e+01
0.00000000e+00 1.47259698e-04 1.60000000e+01
0.00000000e+00 1.47261004e-04 1.65000000e+01
0.00000000e+00 1.40823560e-04 1.70000000e+01
0.00000000e+00 1.28228682e-04 1.75000000e+01
0.00000000e+00 1.10026805e-04 1.80000000e+01
0.00000000e+00 8.70134245e-05 1.85000000e+01
0.00000000e+00 6.01943154e-05 1.90000000e+01
0.00000000e+00 3.07415732e-05 1.95000000e+01
0.00000000e+00 -5.76193778e-08 2.00000000e+01
0.00000000e+00 -3.08572552e-05 2.05000000e+01
0.00000000e+00 -6.03113353e-05 2.10000000e+01
0.00000000e+00 -8.71327032e-05 2.15000000e+01
0.00000000e+00 -1.10149308e-04 2.20000000e+01
0.00000000e+00 -1.28355436e-04 2.25000000e+01
0.00000000e+00 -1.40955682e-04 2.30000000e+01
0.00000000e+00 -1.47399721e-04 2.35000000e+01
0.00000000e+00 -1.47406379e-04 2.40000000e+01
0.00000000e+00 -1.40975946e-04 2.45000000e+01
0.00000000e+00 -1.28390185e-04 2.50000000e+01
0.00000000e+00 -1.10200060e-04 2.55000000e+01
0.00000000e+00 -8.72016943e-05 2.60000000e+01
0.00000000e+00 -6.04016363e-05 2.65000000e+01
0.00000000e+00 -3.09729433e-05 2.70000000e+01
0.00000000e+00 -2.04010700e-07 2.75000000e+01
0.00000000e+00 3.05576068e-05 2.80000000e+01
0.00000000e+00 5.99639163e-05 2.85000000e+01
0.00000000e+00 8.67251658e-05 2.90000000e+01
0.00000000e+00 1.09665893e-04 2.95000000e+01
0.00000000e+00 1.27775856e-04 3.00000000e+01
0.00000000e+00 1.40253571e-04 3.05000000e+01
0.00000000e+00 1.46540462e-04 3.10000000e+01
0.00000000e+00 1.46344028e-04 3.15000000e+01
0.00000000e+00 1.39648796e-04 3.20000000e+01
0.00000000e+00 1.26714313e-04 3.25000000e+01
0.00000000e+00 1.08059789e-04 3.30000000e+01
0.00000000e+00 8.44353332e-05 3.35000000e+01
0.00000000e+00 5.67799423e-05 3.40000000e+01
0.00000000e+00 2.61664644e-05 3.45000000e+01
0.00000000e+00 -6.26602492e-06 3.50000000e+01
0.00000000e+00 -3.93904750e-05 3.55000000e+01
0.00000000e+00 -7.21715489e-05 3.60000000e+01
0.00000000e+00 -1.03709494e-04 3.65000000e+01
0.00000000e+00 -1.33115557e-04 3.70000000e+01
0.00000000e+00 -1.58810923e-04 3.75000000e+01
0.00000000e+00 -1.76314142e-04 3.80000000e+01
0.00000000e+00 -1.74020400e-04 3.85000000e+01
0.00000000e+00 -1.33768140e-04 3.90000000e+01
0.00000000e+00 -5.46771317e-05 3.95000000e+01
0.00000000e+00 3.58196722e-03 1.25448928e-04
0.00000000e+00 1.00223261e-02 5.00089700e-01
0.00000000e+00 1.42672079e-02 1.00007704e+00
0.00000000e+00 1.63862089e-02 1.50007785e+00
0.00000000e+00 1.68991582e-02 2.00008156e+00
0.00000000e+00 1.60231123e-02 2.50008454e+00
0.00000000e+00 1.40231364e-02 3.00008460e+00
0.00000000e+00 1.12022407e-02 3.50008073e+00
0.00000000e+00 7.82040385e-03 4.00007321e+00
0.00000000e+00 4.09808000e-03 4.50006316e+00
0.00000000e+00 2.34284792e-04 5.00005206e+00
0.00000000e+00 -3.58691403e-03 5.50004139e+00
0.00000000e+00 -7.19576723e-03 6.00003248e+00
0.00000000e+00 -1.04384485e-02 6.50002631e+00
0.00000000e+00 -1.31801122e-02 7.00002339e+00
0.00000000e+00 -1.53086678e-02 7.50002371e+00
0.00000000e+00 -1.67385219e-02 8.00002674e+00
0.00000000e+00 -1.74137489e-02 8.50003151e+00
0.00000000e+00 -1.73103268e-02 9.00003680e+00
0.00000000e+00 -1.64371871e-02 9.50004133e+00
0.00000000e+00 -1.48359332e-02 1.00000440e+01
0.00000000e+00 -1.25791728e-02 1.05000440e+01
0.00000000e+00 -9.76750162e-03 1.10000410e+01
0.00000000e+00 -6.52525126e-03 1.15000353e+01
0.00000000e+00 -2.99517763e-03 1.20000276e+01
0.00000000e+00 6.67678050e-04 1.25000189e+01
0.00000000e+00 4.30268657e-03 1.30000104e+01
0.00000000e+00 7.75059075e-03 1.35000034e+01
0.00000000e+00 1.08604207e-02 1.39999988e+01
0.00000000e+00 1.34960590e-02 1.44999972e+01
0.00000000e+00 1.55421669e-02 1.49999985e+01
0.00000000e+00 1.69092088e-02 1.55000023e+01
0.00000000e+00 1.75373550e-02 1.60000078e+01
0.00000000e+00 1.73990889e-02 1.65000136e+01
0.00000000e+00 1.65004044e-02 1.70000186e+01
0.00000000e+00 1.48805396e-02 1.75000216e+01
0.00000000e+00 1.26102586e-02 1.80000220e+01
0.00000000e+00 9.78875549e-03 1.85000194e+01
0.00000000e+00 6.53931672e-03 1.90000140e+01
0.00000000e+00 3.00393108e-03 1.95000065e+01
0.00000000e+00 -6.62916834e-04 1.99999981e+01
0.00000000e+00 -4.30099870e-03 2.04999898e+01
0.00000000e+00 -7.75134530e-03 2.09999830e+01
0.00000000e+00 -1.08631944e-02 2.14999786e+01
0.00000000e+00 -1.35005807e-02 2.19999771e+01
0.00000000e+00 -1.55482794e-02 2.24999785e+01
0.00000000e+00 -1.69168451e-02 2.29999824e+01
0.00000000e+00 -1.75465242e-02 2.34999878e+01
0.00000000e+00 -1.74098709e-02 2.39999936e+01
0.00000000e+00 -1.65129519e-02 2.44999985e+01
0.00000000e+00 -1.48950885e-02 2.50000015e+01
0.00000000e+00 -1.26271469e-02 2.55000017e+01
0.00000000e+00 -9.80845422e-03 2.59999990e+01
0.00000000e+00 -6.56247669e-03 2.64999934e+01
0.00000000e+00 -3.03145062e-03 2.69999857e+01
0.00000000e+00 6.29794892e-04 2.74999770e+01
0.00000000e+00 4.26055096e-03 2.79999685e+01
0.00000000e+00 7.70117986e-03 2.84999615e+01
0.00000000e+00 1.07999960e-02 2.89999567e+01
0.00000000e+00 1.34197725e-02 2.94999549e+01
0.00000000e+00 1.54435854e-02 2.99999559e+01
0.00000000e+00 1.67797420e-02 3.04999594e+01
0.00000000e+00 1.73655844e-02 3.09999643e+01
0.00000000e+00 1.71700212e-02 3.14999695e+01
0.00000000e+00 1.61947171e-02 3.19999737e+01
0.00000000e+00 1.44739581e-02 3.24999757e+01
0.00000000e+00 1.20733098e-02 3.29999746e+01
0.00000000e+00 9.08729715e-03 3.34999701e+01
0.00000000e+00 5.63645808e-03 3.39999624e+01
0.00000000e+00 1.86431977e-03 3.44999521e+01
0.00000000e+00 -2.06491308e-03 3.49999405e+01
0.00000000e+00 -5.96716868e-03 3.54999290e+01
0.00000000e+00 -9.63701231e-03 3.59999194e+01
0.00000000e+00 -1.28399324e-02 3.64999132e+01
0.00000000e+00 -1.52916270e-02 3.69999112e+01
0.00000000e+00 -1.66514850e-02 3.74999130e+01
0.00000000e+00 -1.66093908e-02 3.79999168e+01
0.00000000e+00 -1.49077590e-02 3.84999194e+01
0.00000000e+00 -1.09602830e-02 3.89999096e+01
0.00000000e+00 -4.58437446e-03 3.94998749e+01
0.00000000e+00 6.92946889e-03 6.24932209e-04
0.00000000e+00 1.81353738e-02 5.00514075e-01
0.00000000e+00 2.57158037e-02 1.00046695e+00
0.00000000e+00 2.98369032e-02 1.50045940e+00
0.00000000e+00 3.09905699e-02 2.00046579e+00
0.00000000e+00 2.94547051e-02 2.50047249e+00
0.00000000e+00 2.57855496e-02 3.00046902e+00
0.00000000e+00 2.05333145e-02 3.50045110e+00
0.00000000e+00 1.41570930e-02 4.00041985e+00
0.00000000e+00 7.08222407e-03 4.50037935e+00
0.00000000e+00 -2.88056938e-04 5.00033488e+00
0.00000000e+00 -7.57809003e-03 5.50029195e+00
0.00000000e+00 -1.44431348e-02 6.00025552e+00
0.00000000e+00 -2.05747902e-02 6.50022920e+00
0.00000000e+00 -2.57080343e-02 7.00021473e+00
0.00000000e+00 -2.96279507e-02 7.50021183e+00
0.00000000e+00 -3.21755890e-02 8.00021830e+00
0.00000000e+00 -3.32526241e-02 8.50023047e+00
0.00000000e+00 -3.28243147e-02 9.00024382e+00
0.00000000e+00 -3.09203266e-02 9.50025380e+00
0.00000000e+00 -2.76331600e-02 1.00002565e+01
0.00000000e+00 -2.31140878e-02 1.05002495e+01
0.00000000e+00 -1.75666723e-02 1.10002320e+01
0.00000000e+00 -1.12380670e-02 1.15002051e+01
0.00000000e+00 -4.40843957e-03 1.20001715e+01
0.00000000e+00 2.62105289e-03 1.25001353e+01
0.00000000e+00 9.54122496e-03 1.30001008e+01
0.00000000e+00 1.60482033e-02 1.35000723e+01
0.00000000e+00 2.18565664e-02 1.40000527e+01
0.00000000e+00 2.67117095e-02 1.45000438e+01
0.00000000e+00 3.04008913e-02 1.50000452e+01
0.00000000e+00 3.27624744e-02 1.55000550e+01
0.00000000e+00 3.36929527e-02 1.60000698e+01
0.00000000e+00 3.31514473e-02 1.65000851e+01
0.00000000e+00 3.11614723e-02 1.70000968e+01
0.00000000e+00 2.78098881e-02 1.75001009e+01
0.00000000e+00 2.32430888e-02 1.80000951e+01
0.00000000e+00 1.76605908e-02 1.85000788e+01
0.00000000e+00 1.13063018e-02 1.90000529e+01
0.00000000e+00 4.45785386e-03 1.95000203e+01
0.00000000e+00 -2.58553085e-03 1.99999850e+01
0.00000000e+00 -9.51611476e-03 2.04999513e+01
0.00000000e+00 -1.60310894e-02 2.09999235e+01
0.00000000e+00 -2.18458058e-02 2.14999045e+01
0.00000000e+00 -2.67062150e-02 2.19998960e+01
0.00000000e+00 -3.03999768e-02 2.24998977e+01
0.00000000e+00 -3.27657502e-02 2.29999077e+01
0.00000000e+00 -3.37002603e-02 2.34999225e+01
0.00000000e+00 -3.31628286e-02 2.39999378e+01
0.00000000e+00 -3.11771724e-02 2.44999492e+01
0.00000000e+00 -2.78303919e-02 2.49999530e+01
0.00000000e+00 -2.32691942e-02 2.54999467e+01
0.00000000e+00 -1.76935248e-02 2.59999297e+01
0.00000000e+00 -1.13478905e-02 2.64999032e+01
0.00000000e+00 -4.51076283e-03 2.69998698e+01
0.00000000e+00 2.51747340e-03 2.74998335e+01
0.00000000e+00 9.42749194e-03 2.79997988e+01
0.00000000e+00 1.59143522e-02 2.84997699e+01
0.00000000e+00 2.16906012e-02 2.89997497e+01
0.00000000e+00 2.64985876e-02 2.94997400e+01
0.00000000e+00 3.01214658e-02 2.99997404e+01
0.00000000e+00 3.23924418e-02 3.04997488e+01
0.00000000e+00 3.32019097e-02 3.09997616e+01
0.00000000e+00 3.25022451e-02 3.14997744e+01
0.00000000e+00 3.03101680e-02 3.19997824e+01
0.00000000e+00 2.67067458e-02 3.24997817e+01
0.00000000e+00 2.18352783e-02 3.29997697e+01
0.00000000e+00 1.58974826e-02 3.34997456e+01
0.00000000e+00 9.14845913e-03 3.39997105e+01
0.00000000e+00 1.89072296e-03 3.44996679e+01
0.00000000e+00 -5.53224470e-03 3.49996225e+01
0.00000000e+00 -1.27409669e-02 3.54995800e+01
0.00000000e+00 -1.93229305e-02 3.59995459e+01
0.00000000e+00 -2.48385821e-02 3.64995251e+01
0.00000000e+00 -2.88114137e-02 3.69995193e+01
0.00000000e+00 -3.06674357e-02 3.74995249e+01
0.00000000e+00 -2.98142547e-02 3.79995315e+01
0.00000000e+00 -2.59517802e-02 3.84995256e+01
0.00000000e+00 -1.86054132e-02 3.89994819e+01
0.00000000e+00 -7.57534013e-03 3.94993743e+01
0.00000000e+00 1.03417288e-02 1.47500307e-03
0.00000000e+00 2.52575125e-02 5.01276086e-01
0.00000000e+00 3.53901122e-02 1.00118604e+00
0.00000000e+00 4.10122657e-02 1.50116599e+00
0.00000000e+00 4.25260973e-02 2.00117447e+00
0.00000000e+00 4.03207923e-02 2.50118342e+00
0.00000000e+00 3.51777767e-02 3.00117151e+00
0.00000000e+00 2.77901078e-02 3.50113073e+00
0.00000000e+00 1.87737605e-02 4.00106330e+00
0.00000000e+00 8.74098000e-03 4.50097703e+00
0.00000000e+00 -1.71864198e-03 5.00088250e+00
0.00000000e+00 -1.20507821e-02 5.50079122e+00
0.00000000e+00 -2.17452178e-02 6.00071350e+00
0.00000000e+00 -3.03489501e-02 6.50065666e+00
0.00000000e+00 -3.74776535e-02 7.00062393e+00
0.00000000e+00 -4.28248085e-02 7.50061427e+00
0.00000000e+00 -4.61694322e-02 8.00062271e+00
0.00000000e+00 -4.73818447e-02 8.50064140e+00
0.00000000e+00 -4.64267026e-02 9.00066096e+00
0.00000000e+00 -4.33628570e-02 9.50067216e+00
0.00000000e+00 -3.83397960e-02 1.00006675e+01
0.00000000e+00 -3.15906183e-02 1.05006424e+01
0.00000000e+00 -2.34216857e-02 1.10005960e+01
0.00000000e+00 -1.41992959e-02 1.15005313e+01
0.00000000e+00 -4.33386838e-03 1.20004543e+01
0.00000000e+00 5.73772699e-03 1.25003735e+01
0.00000000e+00 1.55709729e-02 1.30002979e+01
0.00000000e+00 2.47328511e-02 1.35002356e+01
0.00000000e+00 3.28205178e-02 1.40001924e+01
0.00000000e+00 3.94787053e-02 1.45001709e+01
0.00000000e+00 4.44150907e-02 1.50001700e+01
0.00000000e+00 4.74129574e-02 1.55001850e+01
0.00000000e+00 4.83405854e-02 1.60002083e+01
0.00000000e+00 4.71569470e-02 1.65002311e+01
0.00000000e+00 4.39134471e-02 1.70002447e+01
0.00000000e+00 3.87516270e-02 1.75002419e+01
0.00000000e+00 3.18969325e-02 1.80002183e+01
0.00000000e+00 2.36488209e-02 1.85001734e+01
0.00000000e+00 1.43676438e-02 1.90001100e+01
0.00000000e+00 4.45888296e-03 1.95000344e+01
0.00000000e+00 -5.64456992e-03 1.99999549e+01
0.00000000e+00 -1.55013195e-02 2.04998805e+01
0.00000000e+00 -2.46807410e-02 2.09998192e+01
0.00000000e+00 -3.27817885e-02 2.14997770e+01
0.00000000e+00 -3.94505229e-02 2.19997563e+01
0.00000000e+00 -4.43955961e-02 2.24997559e+01
0.00000000e+00 -4.74010161e-02 2.29997712e+01
0.00000000e+00 -4.83356271e-02 2.34997946e+01
0.00000000e+00 -4.71588882e-02 2.39998172e+01
0.00000000e+00 -4.39226945e-02 2.44998304e+01
0.00000000e+00 -3.87691625e-02 2.49998270e+01
0.00000000e+00 -3.19244831e-02 2.54998026e+01
0.00000000e+00 -2.36891223e-02 2.59997567e+01
0.00000000e+00 -1.44248106e-02 2.64996921e+01
0.00000000e+00 -4.53889981e-03 2.69996152e+01
0.00000000e+00 5.53322595e-03 2.74995343e+01
0.00000000e+00 1.53469209e-02 2.79994584e+01
0.00000000e+00 2.44674235e-02 2.84993957e+01
