nx ny nz
-2.23177170e-03 0.00000000e+00 0.00000000e+00
-1.57821632e-04 0.00000000e+00 0.00000000e+00
-5.33849365e-05 0.00000000e+00 0.00000000e+00
5.33849365e-05 0.00000000e+00 0.00000000e+00
1.57821632e-04 0.00000000e+00 0.00000000e+00
2.55360764e-04 0.00000000e+00 0.00000000e+00
3.41739406e-04 0.00000000e+00 0.00000000e+00
4.13182395e-04 0.00000000e+00 0.00000000e+00
4.66567332e-04 0.00000000e+00 0.00000000e+00
4.99561037e-04 0.00000000e+00 0.00000000e+00
5.10721528e-04 0.00000000e+00 0.00000000e+00
4.99561037e-04 0.00000000e+00 0.00000000e+00
4.66567332e-04 0.00000000e+00 0.00000000e+00
4.13182395e-04 0.00000000e+00 0.00000000e+00
3.41739406e-04 0.00000000e+00 0.00000000e+00
2.55360764e-04 0.00000000e+00 0.00000000e+00
1.57821632e-04 0.00000000e+00 0.00000000e+00
5.33849365e-05 0.00000000e+00 0.00000000e+00
-5.33849365e-05 0.00000000e+00 0.00000000e+00
-1.57821632e-04 0.00000000e+00 0.00000000e+00
-2.55360764e-04 0.00000000e+00 0.00000000e+00
-3.41739406e-04 0.00000000e+00 0.00000000e+00
-4.13182395e-04 0.00000000e+00 0.00000000e+00
-4.66567332e-04 0.00000000e+00 0.00000000e+00
-4.99561037e-04 0.00000000e+00 0.00000000e+00
-5.10721528e-04 0.00000000e+00 0.00000000e+00
-4.99561037e-04 0.00000000e+00 0.00000000e+00
-4.66567332e-04 0.00000000e+00 0.00000000e+00
-4.13182395e-04 0.00000000e+00 0.00000000e+00
-3.41739406e-04 0.00000000e+00 0.00000000e+00
-2.55360764e-04 0.00000000e+00 0.00000000e+00
-1.57821632e-04 0.00000000e+00 0.00000000e+00
-5.33849365e-05 0.00000000e+00 0.00000000e+00
5.33849365e-05 0.00000000e+00 0.00000000e+00
1.57821632e-04 0.00000000e+00 0.00000000e+00
2.55360764e-04 0.00000000e+00 0.00000000e+00
3.41739406e-04 0.00000000e+00 0.00000000e+00
4.13182395e-04 0.00000000e+00 0.00000000e+00
4.66567332e-04 0.00000000e+00 0.00000000e+00
4.99561037e-04 0.00000000e+00 0.00000000e+00
5.10721528e-04 0.00000000e+00 0.00000000e+00
4.99561037e-04 0.00000000e+00 0.00000000e+00
4.66567332e-04 0.00000000e+00 0.00000000e+00
4.13182395e-04 0.00000000e+00 0.00000000e+00
3.41739406e-04 0.00000000e+00 0.00000000e+00
2.55360764e-04 0.00000000e+00 0.00000000e+00
1.57821632e-04 0.00000000e+00 0.00000000e+00
5.33849365e-05 0.00000000e+00 0.00000000e+00
-5.33849365e-05 0.00000000e+00 0.00000000e+00
-1.57821632e-04 0.00000000e+00 0.00000000e+00
-2.55360764e-04 0.00000000e+00 0.00000000e+00
-3.41739406e-04 0.00000000e+00 0.00000000e+00
-4.13182395e-04 0.00000000e+00 0.00000000e+00
-4.66567332e-04 0.00000000e+00 0.00000000e+00
-4.99561037e-04 0.00000000e+00 0.00000000e+00
-5.10721528e-04 0.00000000e+00 0.00000000e+00
-4.99561037e-04 0.00000000e+00 0.00000000e+00
-4.66567332e-04 0.00000000e+00 0.00000000e+00
-4.13182395e-04 0.00000000e+00 0.00000000e+00
-3.41739406e-04 0.00000000e+00 0.00000000e+00
-2.55360764e-04 0.00000000e+00 0.00000000e+00
-1.57821632e-04 0.00000000e+00 0.00000000e+00
-5.33849365e-05 0.00000000e+00 0.00000000e+00
5.33849365e-05 0.00000000e+00 0.00000000e+00
1.57821632e-04 0.00000000e+00 0.00000000e+00
2.55360764e-04 0.00000000e+00 0.00000000e+00
3.41739406e-04 0.00000000e+00 0.00000000e+00
4.13182395e-04 0.00000000e+00 0.00000000e+00
4.66567332e-04 0.00000000e+00 0.00000000e+00
4.99561037e-04 0.00000000e+00 0.00000000e+00
5.10721528e-04 0.00000000e+00 0.00000000e+00
4.99561037e-04 0.00000000e+00 0.00000000e+00
4.66567332e-04 0.00000000e+00 0.00000000e+00
4.13182395e-04 0.00000000e+00 0.00000000e+00
3.41739406e-04 0.00000000e+00 0.00000000e+00
2.55360764e-04 0.00000000e+00 0.00000000e+00
1.57821632e-04 0.00000000e+00 0.00000000e+00
5.33849365e-05 0.00000000e+00 0.00000000e+00
-5.33849365e-05 0.00000000e+00 0.00000000e+00
-2.38959333e-03 0.00000000e+00 0.00000000e+00
-2.24427015e-03 0.00000000e+00 0.00000000e+00
9.13278226e-06 0.00000000e+00 0.00000000e+00
1.95106936e-04 0.00000000e+00 0.00000000e+00
2.13043491e-04 0.00000000e+00 0.00000000e+00
1.19535849e-04 0.00000000e+00 0.00000000e+00
1.06569014e-04 0.00000000e+00 0.00000000e+00
1.38962588e-04 0.00000000e+00 0.00000000e+00
1.64714009e-04 0.00000000e+00 0.00000000e+00
1.77106546e-04 0.00000000e+00 0.00000000e+00
1.79956518e-04 0.00000000e+00 0.00000000e+00
1.75209869e-04 0.00000000e+00 0.00000000e+00
1.63922366e-04 0.00000000e+00 0.00000000e+00
1.46920245e-04 0.00000000e+00 0.00000000e+00
1.24879504e-04 0.00000000e+00 0.00000000e+00
9.85138607e-05 0.00000000e+00 0.00000000e+00
6.87106370e-05 0.00000000e+00 0.00000000e+00
3.65481141e-05 0.00000000e+00 0.00000000e+00
3.25382559e-06 0.00000000e+00 0.00000000e+00
-2.98542866e-05 0.00000000e+00 0.00000000e+00
-6.14316907e-05 0.00000000e+00 0.00000000e+00
-9.01723572e-05 0.00000000e+00 0.00000000e+00
-1.14871929e-04 0.00000000e+00 0.00000000e+00
-1.34485820e-04 0.00000000e+00 0.00000000e+00
-1.48179492e-04 0.00000000e+00 0.00000000e+00
-1.55368651e-04 0.00000000e+00 0.00000000e+00
-1.55747643e-04 0.00000000e+00 0.00000000e+00
-1.49304892e-04 0.00000000e+00 0.00000000e+00
-1.36324820e-04 0.00000000e+00 0.00000000e+00
-1.17376308e-04 0.00000000e+00 0.00000000e+00
-9.32883434e-05 0.00000000e+00 0.00000000e+00
-6.51140542e-05 0.00000000e+00 0.00000000e+00
-3.40848252e-05 0.00000000e+00 0.00000000e+00
-1.55658255e-06 0.00000000e+00 0.00000000e+00
3.10493582e-05 0.00000000e+00 0.00000000e+00
6.23082888e-05 0.00000000e+00 0.00000000e+00
9.08542607e-05 0.00000000e+00 0.00000000e+00
1.15439710e-04 0.00000000e+00 0.00000000e+00
1.34989975e-04 0.00000000e+00 0.00000000e+00
1.48650317e-04 0.00000000e+00 0.00000000e+00
1.55823389e-04 0.00000000e+00 0.00000000e+00
1.56195456e-04 0.00000000e+00 0.00000000e+00
1.49750186e-04 0.00000000e+00 0.00000000e+00
1.36769383e-04 0.00000000e+00 0.00000000e+00
1.17820615e-04 0.00000000e+00 0.00000000e+00
9.37323011e-05 0.00000000e+00 0.00000000e+00
6.55573825e-05 0.00000000e+00 0.00000000e+00
3.45272102e-05 0.00000000e+00 0.00000000e+00
1.99769365e-06 0.00000000e+00 0.00000000e+00
-3.06099229e-05 0.00000000e+00 0.00000000e+00
-6.18710813e-05 0.00000000e+00 0.00000000e+00
-9.04200446e-05 0.00000000e+00 0.00000000e+00
-1.15009453e-04 0.00000000e+00 0.00000000e+00
-1.34564699e-04 0.00000000e+00 0.00000000e+00
-1.48230716e-04 0.00000000e+00 0.00000000e+00
-1.55409039e-04 0.00000000e+00 0.00000000e+00
-1.55783411e-04 0.00000000e+00 0.00000000e+00
-1.49332646e-04 0.00000000e+00 0.00000000e+00
-1.36330023e-04 0.00000000e+00 0.00000000e+00
-1.17329051e-04 0.00000000e+00 0.00000000e+00
-9.31360902e-05 0.00000000e+00 0.00000000e+00
-6.47709087e-05 0.00000000e+00 0.00000000e+00
-3.34168633e-05 0.00000000e+00 0.00000000e+00
-3.62973036e-07 0.00000000e+00 0.00000000e+00
3.30593152e-05 0.00000000e+00 0.00000000e+00
6.55414060e-05 0.00000000e+00 0.00000000e+00
9.58615706e-05 0.00000000e+00 0.00000000e+00
1.22943919e-04 0.00000000e+00 0.00000000e+00
1.45899400e-04 0.00000000e+00 0.00000000e+00
1.64002509e-04 0.00000000e+00 0.00000000e+00
1.76534724e-04 0.00000000e+00 0.00000000e+00
1.82562944e-04 0.00000000e+00 0.00000000e+00
1.80842471e-04 0.00000000e+00 0.00000000e+00
1.69096009e-04 0.00000000e+00 0.00000000e+00
1.42742894e-04 0.00000000e+00 0.00000000e+00
1.07806100e-04 0.00000000e+00 0.00000000e+00
1.19806937e-04 0.00000000e+00 0.00000000e+00
2.22067824e-04 0.00000000e+00 0.00000000e+00
2.12553723e-04 0.00000000e+00 0.00000000e+00
4.66267165e-06 0.00000000e+00 0.00000000e+00
-2.25727454e-03 0.00000000e+00 0.00000000e+00
-2.06796202e-03 0.00000000e+00 0.00000000e+00
2.38422157e-04 0.00000000e+00 0.00000000e+00
2.77395000e-04 0.00000000e+00 0.00000000e+00
1.42034368e-04 0.00000000e+00 0.00000000e+00
7.79132747e-06 0.00000000e+00 0.00000000e+00
5.32659946e-05 0.00000000e+00 0.00000000e+00
1.20619274e-04 0.00000000e+00 0.00000000e+00
1.53158568e-04 0.00000000e+00 0.00000000e+00
1.66562129e-04 0.00000000e+00 0.00000000e+00
1.68634788e-04 0.00000000e+00 0.00000000e+00
1.62325620e-04 0.00000000e+00 0.00000000e+00
1.49930708e-04 0.00000000e+00 0.00000000e+00
1.32293899e-04 0.00000000e+00 0.00000000e+00
1.09876090e-04 0.00000000e+00 0.00000000e+00
8.35071545e-05 0.00000000e+00 0.00000000e+00
5.42917676e-05 0.00000000e+00 0.00000000e+00
2.34339756e-05 0.00000000e+00 0.00000000e+00
-7.82664404e-06 0.00000000e+00 0.00000000e+00
-3.82301240e-05 0.00000000e+00 0.00000000e+00
-6.65719338e-05 0.00000000e+00 0.00000000e+00
-9.17100137e-05 0.00000000e+00 0.00000000e+00
-1.12627620e-04 0.00000000e+00 0.00000000e+00
-1.28474914e-04 0.00000000e+00 0.00000000e+00
-1.38607354e-04 0.00000000e+00 0.00000000e+00
-1.42616659e-04 0.00000000e+00 0.00000000e+00
-1.40351752e-04 0.00000000e+00 0.00000000e+00
-1.31928095e-04 0.00000000e+00 0.00000000e+00
-1.17724802e-04 0.00000000e+00 0.00000000e+00
-9.83695806e-05 0.00000000e+00 0.00000000e+00
-7.47121873e-05 0.00000000e+00 0.00000000e+00
-4.77881040e-05 0.00000000e+00 0.00000000e+00
-1.87747864e-05 0.00000000e+00 0.00000000e+00
1.10565475e-05 0.00000000e+00 0.00000000e+00
4.04161465e-05 0.00000000e+00 0.00000000e+00
6.80102601e-05 0.00000000e+00 0.00000000e+00
9.26385233e-05 0.00000000e+00 0.00000000e+00
1.13225936e-04 0.00000000e+00 0.00000000e+00
1.28872547e-04 0.00000000e+00 0.00000000e+00
1.38893940e-04 0.00000000e+00 0.00000000e+00
1.42851575e-04 0.00000000e+00 0.00000000e+00
1.40572129e-04 0.00000000e+00 0.00000000e+00
1.32155222e-04 0.00000000e+00 0.00000000e+00
1.17969064e-04 0.00000000e+00 0.00000000e+00
9.86341775e-05 0.00000000e+00 0.00000000e+00
7.49959977e-05 0.00000000e+00 0.00000000e+00
4.80875605e-05 0.00000000e+00 0.00000000e+00
1.90838177e-05 0.00000000e+00 0.00000000e+00
-1.07506651e-05 0.00000000e+00 0.00000000e+00
-4.01094098e-05 0.00000000e+00 0.00000000e+00
-6.77155616e-05 0.00000000e+00 0.00000000e+00
-9.23622368e-05 0.00000000e+00 0.00000000e+00
-1.12971989e-04 0.00000000e+00 0.00000000e+00
-1.28642351e-04 0.00000000e+00 0.00000000e+00
-1.38684327e-04 0.00000000e+00 0.00000000e+00
-1.42651665e-04 0.00000000e+00 0.00000000e+00
-1.40359252e-04 0.00000000e+00 0.00000000e+00
-1.31889528e-04 0.00000000e+00 0.00000000e+00
-1.17586604e-04 0.00000000e+00 0.00000000e+00
-9.80383606e-05 0.00000000e+00 0.00000000e+00
-7.40474344e-05 0.00000000e+00 0.00000000e+00
-4.65934618e-05 0.00000000e+00 0.00000000e+00
-1.67900896e-05 0.00000000e+00 0.00000000e+00
1.41587534e-05 0.00000000e+00 0.00000000e+00
4.50318215e-05 0.00000000e+00 0.00000000e+00
7.45779290e-05 0.00000000e+00 0.00000000e+00
1.01605236e-04 0.00000000e+00 0.00000000e+00
1.24979475e-04 0.00000000e+00 0.00000000e+00
1.43680325e-04 0.00000000e+00 0.00000000e+00
1.56982122e-04 0.00000000e+00 0.00000000e+00
1.64571615e-04 0.00000000e+00 0.00000000e+00
1.65759783e-04 0.00000000e+00 0.00000000e+00
1.58260847e-04 0.00000000e+00 0.00000000e+00
1.39063743e-04 0.00000000e+00 0.00000000e+00
1.00326405e-04 0.00000000e+00 0.00000000e+00
2.45221652e-05 0.00000000e+00 0.00000000e+00
