ux uy uz
0.00000000e+00 2.21993139e+02 -1.75480784e-12
0.00000000e+00 1.93204120e+02 -1.86797160e-12
0.00000000e+00 1.44392028e+02 -1.92424602e-12
0.00000000e+00 8.01992148e+01 -1.90519483e-12
0.00000000e+00 7.37436375e+00 -1.81220199e-12
0.00000000e+00 -6.77319516e+01 -1.65066336e-12
0.00000000e+00 -1.40486207e+02 -1.42271290e-12
0.00000000e+00 -2.08063562e+02 -1.18203805e-12
0.00000000e+00 -2.68970356e+02 -1.10400718e-12
0.00000000e+00 -3.22517231e+02 -1.43209763e-12
0.00000000e+00 -3.68440185e+02 -2.26453220e-12
0.00000000e+00 -4.06678916e+02 -3.35203190e-12
0.00000000e+00 -4.37264933e+02 -4.13131531e-12
0.00000000e+00 -4.60273333e+02 -4.02091871e-12
0.00000000e+00 -4.75807305e+02 -2.75582494e-12
0.00000000e+00 -4.83997636e+02 -5.26722383e-13
0.00000000e+00 -4.85007955e+02 2.10062424e-12
0.00000000e+00 -4.79041220e+02 4.36703557e-12
0.00000000e+00 -4.66345424e+02 5.52412689e-12
0.00000000e+00 -4.47217755e+02 5.06218254e-12
0.00000000e+00 -4.22006974e+02 2.93460640e-12
0.00000000e+00 -3.91114080e+02 -3.50792983e-13
0.00000000e+00 -3.54991407e+02 -3.89128901e-12
0.00000000e+00 -3.14140320e+02 -6.72604325e-12
0.00000000e+00 -2.69107706e+02 -8.15322161e-12
0.00000000e+00 -2.20481419e+02 -7.91196453e-12
0.00000000e+00 -1.68884839e+02 -6.20678005e-12
0.00000000e+00 -1.14970704e+02 -3.59614656e-12
0.00000000e+00 -5.94143424e+01 -8.19007453e-13
0.00000000e+00 -2.90643530e+00 1.38131373e-12
0.00000000e+00 5.38545481e+01 2.44839314e-12
0.00000000e+00 1.10170138e+02 2.23618567e-12
0.00000000e+00 1.65349746e+02 1.15917614e-12
0.00000000e+00 2.18718536e+02 6.23144811e-14
0.00000000e+00 2.69625166e+02 -2.20433268e-13
0.00000000e+00 3.17449307e+02 6.92450395e-13
0.00000000e+00 3.61608826e+02 2.60245611e-12
0.00000000e+00 4.01566556e+02 4.89460503e-12
0.00000000e+00 4.36836552e+02 6.79936779e-12
0.00000000e+00 4.66989762e+02 7.65639409e-12
0.00000000e+00 4.91659035e+02 7.16683911e-12
0.00000000e+00 5.10543408e+02 5.54019401e-12
0.00000000e+00 5.23411622e+02 3.35189760e-12
0.00000000e+00 5.30104802e+02 1.11312545e-12
0.00000000e+00 5.30538301e+02 -1.08618938e-12
0.00000000e+00 5.24702653e+02 -3.49461950e-12
0.00000000e+00 5.12663640e+02 -6.22430477e-12
0.00000000e+00 4.94561465e+02 -8.80973676e-12
0.00000000e+00 4.70609043e+02 -1.02929857e-11
0.00000000e+00 4.41089429e+02 -9.90748932e-12
0.00000000e+00 4.06352406e+02 -7.69301225e-12
0.00000000e+00 3.66810292e+02 -4.32253211e-12
0.00000000e+00 3.22932987e+02 -4.76568342e-13
0.00000000e+00 2.75242348e+02 3.30301631e-12
0.00000000e+00 2.24305940e+02 6.30268126e-12
0.00000000e+00 1.70730247e+02 7.73310261e-12
0.00000000e+00 1.15153410e+02 7.32707940e-12
0.00000000e+00 5.82376024e+01 5.63830360e-12
0.00000000e+00 6.61110705e-01 3.71876653e-12
0.00000000e+00 -5.68897749e+01 2.54527963e-12
0.00000000e+00 -1.13728962e+02 2.45654214e-12
0.00000000e+00 -1.69178758e+02 2.88255329e-12
0.00000000e+00 -2.22577964e+02 2.79198889e-12
0.00000000e+00 -2.73289781e+02 1.58180899e-12
0.00000000e+00 -3.20709415e+02 -4.83420078e-13
0.00000000e+00 -3.64271304e+02 -2.55753993e-12
0.00000000e+00 -4.03455877e+02 -3.79450164e-12
0.00000000e+00 -4.37795758e+02 -3.93002718e-12
0.00000000e+00 -4.66881353e+02 -3.56748958e-12
0.00000000e+00 -4.90365739e+02 -3.73831720e-12
0.00000000e+00 -5.07968815e+02 -5.01188499e-12
0.00000000e+00 -5.19480642e+02 -7.04726177e-12
