wx wy wz
0.00000000e+00 2.62993703e+02 0.00000000e+00
0.00000000e+00 3.57841464e+02 0.00000000e+00
0.00000000e+00 4.37554962e+02 0.00000000e+00
0.00000000e+00 4.88079580e+02 0.00000000e+00
0.00000000e+00 5.05029039e+02 0.00000000e+00
0.00000000e+00 4.91812577e+02 0.00000000e+00
0.00000000e+00 4.54976964e+02 0.00000000e+00
0.00000000e+00 4.00887529e+02 0.00000000e+00
0.00000000e+00 3.34544947e+02 0.00000000e+00
0.00000000e+00 2.59626814e+02 0.00000000e+00
0.00000000e+00 1.78891673e+02 0.00000000e+00
0.00000000e+00 9.45517835e+01 0.00000000e+00
0.00000000e+00 8.51973497e+00 0.00000000e+00
0.00000000e+00 -7.74549972e+01 0.00000000e+00
0.00000000e+00 -1.61722507e+02 0.00000000e+00
0.00000000e+00 -2.42711788e+02 0.00000000e+00
0.00000000e+00 -3.18933402e+02 0.00000000e+00
0.00000000e+00 -3.88993922e+02 0.00000000e+00
0.00000000e+00 -4.51615540e+02 0.00000000e+00
0.00000000e+00 -5.05657091e+02 0.00000000e+00
0.00000000e+00 -5.50134302e+02 0.00000000e+00
0.00000000e+00 -5.84237978e+02 0.00000000e+00
0.00000000e+00 -6.07349303e+02 0.00000000e+00
0.00000000e+00 -6.19051734e+02 0.00000000e+00
0.00000000e+00 -6.19139152e+02 0.00000000e+00
0.00000000e+00 -6.07620076e+02 0.00000000e+00
0.00000000e+00 -5.84717819e+02 0.00000000e+00
0.00000000e+00 -5.50866601e+02 0.00000000e+00
0.00000000e+00 -5.06703688e+02 0.00000000e+00
0.00000000e+00 -4.53057692e+02 0.00000000e+00
0.00000000e+00 -3.90933284e+02 0.00000000e+00
0.00000000e+00 -3.21492587e+02 0.00000000e+00
0.00000000e+00 -2.46033612e+02 0.00000000e+00
0.00000000e+00 -1.65966145e+02 0.00000000e+00
0.00000000e+00 -8.27855266e+01 0.00000000e+00
0.00000000e+00 1.95517020e+00 0.00000000e+00
0.00000000e+00 8.66740494e+01 0.00000000e+00
0.00000000e+00 1.69789850e+02 0.00000000e+00
0.00000000e+00 2.49751398e+02 0.00000000e+00
0.00000000e+00 3.25066500e+02 0.00000000e+00
0.00000000e+00 3.94329747e+02 0.00000000e+00
0.00000000e+00 4.56248699e+02 0.00000000e+00
0.00000000e+00 5.09667968e+02 0.00000000e+00
0.00000000e+00 5.53590751e+02 0.00000000e+00
0.00000000e+00 5.87197400e+02 0.00000000e+00
0.00000000e+00 6.09860700e+02 0.00000000e+00
0.00000000e+00 6.21157551e+02 0.00000000e+00
0.00000000e+00 6.20876857e+02 0.00000000e+00
0.00000000e+00 6.09023448e+02 0.00000000e+00
0.00000000e+00 5.85817991e+02 0.00000000e+00
0.00000000e+00 5.51692866e+02 0.00000000e+00
0.00000000e+00 5.07284101e+02 0.00000000e+00
0.00000000e+00 4.53419508e+02 0.00000000e+00
0.00000000e+00 3.91103248e+02 0.00000000e+00
0.00000000e+00 3.21497095e+02 0.00000000e+00
0.00000000e+00 2.45898781e+02 0.00000000e+00
0.00000000e+00 1.65717786e+02 0.00000000e+00
0.00000000e+00 8.24490607e+01 0.00000000e+00
0.00000000e+00 -2.35485339e+00 0.00000000e+00
0.00000000e+00 -8.71127761e+01 0.00000000e+00
0.00000000e+00 -1.70244372e+02 0.00000000e+00
0.00000000e+00 -2.50199622e+02 0.00000000e+00
0.00000000e+00 -3.25487723e+02 0.00000000e+00
0.00000000e+00 -3.94704891e+02 0.00000000e+00
0.00000000e+00 -4.56560536e+02 0.00000000e+00
0.00000000e+00 -5.09901330e+02 0.00000000e+00
0.00000000e+00 -5.53732710e+02 0.00000000e+00
0.00000000e+00 -5.87237426e+02 0.00000000e+00
0.00000000e+00 -6.09790781e+02 0.00000000e+00
0.00000000e+00 -6.20972278e+02 0.00000000e+00
0.00000000e+00 -6.20573463e+02 0.00000000e+00
0.00000000e+00 -6.08601811e+02 0.00000000e+00
0.00000000e+00 -5.85280588e+02 0.00000000e+00
0.00000000e+00 -5.51044687e+02 0.00000000e+00
0.00000000e+00 -5.06532519e+02 0.00000000e+00
0.00000000e+00 -4.52574111e+02 0.00000000e+00
0.00000000e+00 -3.90175624e+02 0.00000000e+00
0.00000000e+00 -3.20500596e+02 0.00000000e+00
0.00000000e+00 -2.44848245e+02 0.00000000e+00
0.00000000e+00 -1.64629240e+02 0.00000000e+00
0.00000000e+00 -8.13394013e+01 0.00000000e+00
0.00000000e+00 3.46819663e+00 0.00000000e+00
0.00000000e+00 8.82121818e+01 0.00000000e+00
0.00000000e+00 1.71312373e+02 0.00000000e+00
0.00000000e+00 2.51219247e+02 0.00000000e+00
0.00000000e+00 3.26442828e+02 0.00000000e+00
0.00000000e+00 3.95580476e+02 0.00000000e+00
0.00000000e+00 4.57343039e+02 0.00000000e+00
0.00000000e+00 5.10578893e+02 0.00000000e+00
0.00000000e+00 5.54295417e+02 0.00000000e+00
0.00000000e+00 5.87677501e+02 0.00000000e+00
0.00000000e+00 6.10102745e+02 0.00000000e+00
0.00000000e+00 6.21153072e+02 0.00000000e+00
0.00000000e+00 6.20622516e+02 0.00000000e+00
0.00000000e+00 6.08521071e+02 0.00000000e+00
0.00000000e+00 5.85074499e+02 0.00000000e+00
0.00000000e+00 5.50720131e+02 0.00000000e+00
0.00000000e+00 5.06098705e+02 0.00000000e+00
0.00000000e+00 4.52042424e+02 0.00000000e+00
0.00000000e+00 3.89559444e+02 0.00000000e+00
0.00000000e+00 3.19815070e+02 0.00000000e+00
0.00000000e+00 2.44110039e+02 0.00000000e+00
0.00000000e+00 1.63856263e+02 0.00000000e+00
0.00000000e+00 8.05505089e+01 0.00000000e+00
0.00000000e+00 -4.25350844e+00 0.00000000e+00
0.00000000e+00 -8.89740888e+01 0.00000000e+00
0.00000000e+00 -1.72031035e+02 0.00000000e+00
0.00000000e+00 -2.51875109e+02 0.00000000e+00
0.00000000e+00 -3.27016910e+02 0.00000000e+00
0.00000000e+00 -3.96054637e+02 0.00000000e+00
0.00000000e+00 -4.57700208e+02 0.00000000e+00
0.00000000e+00 -5.10803269e+02 0.00000000e+00
0.00000000e+00 -5.54372615e+02 0.00000000e+00
0.00000000e+00 -5.87594655e+02 0.00000000e+00
0.00000000e+00 -6.09848550e+02 0.00000000e+00
0.00000000e+00 -6.20717752e+02 0.00000000e+00
0.00000000e+00 -6.19997728e+02 0.00000000e+00
0.00000000e+00 -6.07699719e+02 0.00000000e+00
0.00000000e+00 -5.84050463e+02 0.00000000e+00
0.00000000e+00 -5.49487891e+02 0.00000000e+00
0.00000000e+00 -5.04652853e+02 0.00000000e+00
0.00000000e+00 -4.50377053e+02 0.00000000e+00
0.00000000e+00 -3.87667385e+02 0.00000000e+00
0.00000000e+00 -3.17686980e+02 0.00000000e+00
0.00000000e+00 -2.41733289e+02 0.00000000e+00
0.00000000e+00 -1.61213630e+02 0.00000000e+00
0.00000000e+00 -7.76186264e+01 0.00000000e+00
0.00000000e+00 7.50593943e+00 0.00000000e+00
0.00000000e+00 9.25883288e+01 0.00000000e+00
0.00000000e+00 1.76060503e+02 0.00000000e+00
0.00000000e+00 2.56387570e+02 0.00000000e+00
0.00000000e+00 3.32096234e+02 0.00000000e+00
0.00000000e+00 4.01801255e+02 0.00000000e+00
0.00000000e+00 4.64228509e+02 0.00000000e+00
0.00000000e+00 5.18232457e+02 0.00000000e+00
0.00000000e+00 5.62804320e+02 0.00000000e+00
0.00000000e+00 5.97064400e+02 0.00000000e+00
0.00000000e+00 6.20226695e+02 0.00000000e+00
0.00000000e+00 6.31514450e+02 0.00000000e+00
0.00000000e+00 6.29989473e+02 0.00000000e+00
0.00000000e+00 6.14235328e+02 0.00000000e+00
0.00000000e+00 5.81814303e+02 0.00000000e+00
0.00000000e+00 5.28443641e+02 0.00000000e+00
0.00000000e+00 4.47039899e+02 0.00000000e+00
0.00000000e+00 3.27442830e+02 0.00000000e+00
0.00000000e+00 1.59020245e+02 0.00000000e+00
0.00000000e+00 -6.03620519e+01 0.00000000e+00
0.00000000e+00 -3.08540099e+02 0.00000000e+00
0.00000000e+00 -5.28820079e+02 0.00000000e+00
0.00000000e+00 -6.49798900e+02 0.00000000e+00
1.23257273e+03 1.04635526e+03 6.63655334e+02
-8.16123110e+02 -1.15428065e+03 -1.36679947e+03
-1.79794667e+03 -1.42257971e+03 -1.39444231e+03
-2.42681321e+03 -1.20666914e+03 -1.23863238e+03
-2.65322563e+03 -8.44864484e+02 -9.60744420e+02
-2.50884254e+03 -5.63876618e+02 -6.15899166e+02
-2.17285781e+03 -4.11584338e+02 -3.67540225e+02
-1.83447803e+03 -3.19855723e+02 -2.55020647e+02
-1.55372622e+03 -2.37991953e+02 -1.92421793e+02
-1.32406903e+03 -1.57711662e+02 -1.13684423e+02
-1.12931381e+03 -8.96108316e+01 -1.36213619e+01
-9.59108111e+02 -4.31855743e+01 8.33771717e+01
-8.09387962e+02 -2.00469262e+01 1.57318508e+02
-6.79050184e+02 -1.64804557e+01 2.03603009e+02
-5.67251051e+02 -2.76127411e+01 2.27464394e+02
-4.72519374e+02 -4.93897115e+01 2.36033638e+02
-3.92932212e+02 -7.86633047e+01 2.34621324e+02
-3.26473586e+02 -1.12695169e+02 2.26512638e+02
-2.71246464e+02 -1.48850098e+02 2.13855707e+02
-2.25543253e+02 -1.84624715e+02 1.98302828e+02
-1.87850821e+02 -2.17838434e+02 1.81203641e+02
-1.56839865e+02 -2.46782101e+02 1.63594348e+02
-1.31355696e+02 -2.70235745e+02 1.46193884e+02
-1.10410455e+02 -2.87385024e+02 1.29462117e+02
-9.31728523e+01 -2.97711653e+02 1.13684621e+02
-7.89536510e+01 -3.00913534e+02 9.90415074e+01
-6.71878759e+01 -2.96868804e+02 8.56454200e+01
-5.74160109e+01 -2.85629117e+02 7.35562063e+01
-4.92661750e+01 -2.67420723e+02 6.27860664e+01
-4.24383844e+01 -2.42639430e+02 5.33046503e+01
-3.66911911e+01 -2.11835980e+02 4.50471645e+01
-3.18305328e+01 -1.75694757e+02 3.79244894e+01
-2.77004901e+01 -1.35010175e+02 3.18332012e+01
-2.41756631e+01 -9.06635997e+01 2.66639631e+01
-2.11549357e+01 -4.36016787e+01 2.23077312e+01
-1.85564325e+01 5.18421227e+00 1.86599186e+01
-1.63134908e+01 5.46779563e+01 1.56229587e+01
-1.43714820e+01 1.03858405e+02 1.31077260e+01
-1.26853277e+01 1.51718753e+02 1.10341745e+01
-1.12175696e+01 1.97285314e+02 9.33144418e+00
-9.93687548e+00 2.39635387e+02 7.93760510e+00
-8.81688302e+00 2.77913935e+02 6.79915791e+00
-7.83530004e+00 3.11348857e+02 5.87037891e+00
-6.97320068e+00 3.39264668e+02 5.11257859e+00
-6.21446828e+00 3.61094400e+02 4.49332626e+00
-5.54534870e+00 3.76389551e+02 3.98568017e+00
-4.95408683e+00 3.84827896e+02 3.56745089e+00
-4.43062630e+00 3.86219029e+02 3.22051601e+00
-3.96635785e+00 3.80507495e+02 2.93019659e+00
-3.55390618e+00 3.67773462e+02 2.68470014e+00
-3.18694761e+00 3.48230902e+02 2.47463061e+00
-2.86005345e+00 3.22223304e+02 2.29256320e+00
-2.56855501e+00 2.90217030e+02 2.13267976e+00
-2.30842742e+00 2.52792406e+02 1.99045968e+00
-2.07618982e+00 2.10632755e+02 1.86242030e+00
-1.86882005e+00 1.64511547e+02 1.74590119e+00
-1.68368208e+00 1.15277942e+02 1.63888647e+00
-1.51846476e+00 6.38409561e+01 1.53985976e+00
-1.37113040e+00 1.11525631e+01 1.44768698e+00
-1.23987194e+00 -4.18099871e+01 1.36152249e+00
-1.12307752e+00 -9.40623114e+01 1.28073484e+00
-1.01930135e+00 -1.44631188e+02 1.20484859e+00
-9.27239877e-01 -1.92572675e+02 1.13349950e+00
-8.45712377e-01 -2.36989742e+02 1.06640047e+00
-7.73645219e-01 -2.77049083e+02 1.00331615e+00
-7.10059087e-01 -3.11996814e+02 9.44044607e-01
-6.54058602e-01 -3.41172750e+02 8.88404321e-01
-6.04823865e-01 -3.64022985e+02 8.36225500e-01
-5.61603504e-01 -3.80110528e+02 7.87344557e-01
-5.23708911e-01 -3.89123774e+02 7.41600970e-01
-4.90509389e-01 -3.90882630e+02 6.98835839e-01
-4.61428000e-01 -3.85342169e+02 6.58891586e-01
-4.35937958e-01 -3.72593729e+02 6.21612388e-01
-4.13559421e-01 -3.52863436e+02 5.86845009e-01
-3.93856596e-01 -3.26508166e+02 5.54439783e-01
-3.76435081e-01 -2.94009045e+02 5.24251589e-01
-3.60939391e-01 -2.55962606e+02 4.96140688e-01
-3.47050633e-01 -2.13069782e+02 4.69973366e-01
-3.34484295e-01 -1.66122953e+02 4.45622341e-01
-3.22988148e-01 -1.15991302e+02 4.22966934e-01
-3.12340241e-01 -6.36047346e+01 4.01893025e-01
-3.02346980e-01 -9.93668720e+00 3.82292823e-01
-2.92841289e-01 4.40138925e+01 3.64064494e-01
-2.83680855e-01 9.72410522e+01 3.47111693e-01
-2.74746431e-01 1.48750510e+02 3.31343049e-01
-2.65940221e-01 1.97578159e+02 3.16671642e-01
-2.57184302e-01 2.42808081e+02 3.03014531e-01
-2.48419109e-01 2.83589720e+02 2.90292338e-01
-2.39601942e-01 3.19153919e+02 2.78428943e-01
-2.30705503e-01 3.48827501e+02 2.67351285e-01
-2.21716445e-01 3.72046111e+02 2.56989284e-01
-2.12633924e-01 3.88365059e+02 2.47275886e-01
-2.03468151e-01 3.97467957e+02 2.38147201e-01
-1.94238937e-01 3.99172941e+02 2.29542746e-01
-1.84974235e-01 3.93436374e+02 2.21405734e-01
-1.75708681e-01 3.80353934e+02 2.13683409e-01
-1.66482152e-01 3.60159059e+02 2.06327369e-01
-1.57338337e-01 3.33218802e+02 1.99293874e-01
-1.48323358e-01 3.00027150e+02 1.92544081e-01
-1.39484432e-01 2.61195973e+02 1.86044205e-01
-1.30868623e-01 2.17443772e+02 1.79765565e-01
-1.22521678e-01 1.69582451e+02 1.73684514e-01
-1.14486964e-01 1.18502371e+02 1.67782255e-01
-1.06804542e-01 6.51559672e+01 1.62044520e-01
-9.95103606e-02 1.05402403e+01 1.56461151e-01
-9.26355946e-02 -4.43215724e+01 1.51025589e-01
-8.62061266e-02 -9.83988064e+01 1.45734288e-01
-8.02421717e-02 -1.50672331e+02 1.40586096e-01
-7.47580440e-02 -2.00153327e+02 1.35581621e-01
-6.97620563e-02 -2.45901541e+02 1.30722624e-01
-6.52565474e-02 -2.87042694e+02 1.26011448e-01
-6.12380249e-02 -3.22784732e+02 1.21450532e-01
-5.76974116e-02 -3.52432610e+02 1.17042005e-01
-5.46203839e-02 -3.75401345e+02 1.12787394e-01
-5.19877865e-02 -3.91227097e+02 1.08687436e-01
-4.97761115e-02 -3.99576074e+02 1.04742011e-01
-4.79580265e-02 -4.00251115e+02 1.00950171e-01
-4.65029392e-02 -3.93195854e+02 9.73102813e-02
-4.53775855e-02 -3.78496421e+02 9.38202304e-02
-4.45466289e-02 -3.56380720e+02 9.04777175e-02
-4.39732608e-02 -3.27215356e+02 8.72805807e-02
-4.36197922e-02 -2.91500388e+02 8.42271547e-02
-4.34482281e-02 -2.49862096e+02 8.13166344e-02
-4.34208185e-02 -2.03044045e+02 7.85494272e-02
-4.35005785e-02 -1.51896697e+02 7.59274769e-02
-4.36517739e-02 -9.73658640e+01 7.34545524e-02
-4.38403669e-02 -4.04801569e+01 7.11365106e-02
-4.40344141e-02 1.76624470e+01 6.89815677e-02
-4.42044084e-02 7.59088728e+01 6.70006360e-02
-4.43235500e-02 1.33065842e+02 6.52077696e-02
-4.43679297e-02 1.87914857e+02 6.36206558e-02
-4.43166210e-02 2.39226616e+02 6.22608723e-02
-4.41517067e-02 2.85775332e+02 6.11533896e-02
-4.38583079e-02 3.26356758e+02 6.03248862e-02
-4.34247017e-02 3.59818176e+02 5.98013328e-02
-4.28425305e-02 3.85107335e+02 5.96070339e-02
-4.21069073e-02 4.01328048e+02 5.97683639e-02
-4.12160128e-02 4.07746431e+02 6.03220670e-02
-4.01698411e-02 4.03651664e+02 6.13168179e-02
-3.89682900e-02 3.88024150e+02 6.27827340e-02
-3.76095542e-02 3.59200384e+02 6.46495940e-02
-3.60900848e-02 3.15078655e+02 6.66544233e-02
-3.44070613e-02 2.54424556e+02 6.83885048e-02
-3.25641160e-02 1.78829554e+02 6.96703865e-02
-3.05793729e-02 9.30414898e+01 7.11626053e-02
-2.84852225e-02 1.24135764e+00 7.45315764e-02
-2.62976195e-02 -9.81009251e+01 8.11646788e-02
-2.39675727e-02 -2.08872067e+02 8.97795569e-02
-2.14284163e-02 -3.21145876e+02 9.58528158e-02
-1.88149147e-02 -4.02222372e+02 9.54014760e-02
1.17605484e+03 8.64246367e+02 4.00747297e+02
-6.63931333e+02 -5.94689814e+02 -1.09928918e+03
-1.47709714e+03 -6.86119356e+02 -9.88138822e+02
-1.95266069e+03 -5.10205976e+02 -8.47373903e+02
-2.11355341e+03 -3.66366159e+02 -6.39916787e+02
-2.00534681e+03 -3.28900686e+02 -4.26818504e+02
-1.79964026e+03 -3.34231622e+02 -3.64928491e+02
-1.62118610e+03 -3.27339420e+02 -3.97560598e+02
-1.47832233e+03 -3.01837046e+02 -3.95483193e+02
-1.35308058e+03 -2.55518018e+02 -3.11003657e+02
-1.23135566e+03 -1.96567582e+02 -1.77737693e+02
-1.10822404e+03 -1.43356449e+02 -5.29613365e+01
-9.86335431e+02 -1.09569384e+02 3.28964561e+01
-8.70207249e+02 -9.67610138e+01 8.22794000e+01
-7.62761422e+02 -9.92212399e+01 1.09847564e+02
-6.65170271e+02 -1.10758723e+02 1.26848340e+02
-5.77660585e+02 -1.27288435e+02 1.37988353e+02
-5.00030012e+02 -1.46344851e+02 1.44317384e+02
-4.31819121e+02 -1.66160038e+02 1.46151007e+02
-3.72359259e+02 -1.85364351e+02 1.44123629e+02
-3.20831406e+02 -2.03005033e+02 1.39050423e+02
-2.76354343e+02 -2.18439556e+02 1.31651867e+02
-2.38067196e+02 -2.31098343e+02 1.22522564e+02
-2.05177833e+02 -2.40333200e+02 1.12219288e+02
-1.76975942e+02 -2.45450676e+02 1.01297153e+02
-1.52827102e+02 -2.45850049e+02 9.02670408e+01
-1.32164085e+02 -2.41138114e+02 7.95360189e+01
-1.14482352e+02 -2.31161203e+02 6.93823040e+01
-9.93387663e+01 -2.15974134e+02 5.99702968e+01
-8.63500718e+01 -1.95793370e+02 5.13837212e+01
-7.51891860e+01 -1.70964177e+02 4.36555429e+01
-6.55794369e+01 -1.41944441e+02 3.67864043e+01
-5.72878975e+01 -1.09294388e+02 3.07537153e+01
-5.01188553e+01 -7.36631708e+01 2.55166057e+01
-4.39079388e+01 -3.57705145e+01 2.10202662e+01
-3.85170147e+01 3.61375058e+00 1.72006334e+01
-3.38298055e+01 4.36892057e+01 1.39889441e+01
-2.97481559e+01 8.36423535e+01 1.13155083e+01
-2.61888969e+01 1.22662726e+02 9.11243214e+00
-2.30812533e+01 1.59958533e+02 7.31539782e+00
-2.03647335e+01 1.94772207e+02 5.86475326e+00
-1.79874259e+01 2.26395550e+02 4.70614096e+00
