x y z
0.00000000e+00 3.20037311e-05 -1.90840677e-11
0.00000000e+00 4.83010300e-05 8.70000000e-02
0.00000000e+00 3.60980071e-05 1.74000000e-01
0.00000000e+00 2.00498037e-05 2.61000000e-01
0.00000000e+00 1.84359094e-06 3.48000000e-01
0.00000000e+00 -1.69329879e-05 4.35000000e-01
0.00000000e+00 -3.51215517e-05 5.22000000e-01
0.00000000e+00 -5.20158906e-05 6.09000000e-01
0.00000000e+00 -6.72425890e-05 6.96000000e-01
0.00000000e+00 -8.06293076e-05 7.83000000e-01
0.00000000e+00 -9.21100463e-05 8.70000000e-01
0.00000000e+00 -1.01669729e-04 9.57000000e-01
0.00000000e+00 -1.09316233e-04 1.04400000e+00
0.00000000e+00 -1.15068333e-04 1.13100000e+00
0.00000000e+00 -1.18951826e-04 1.21800000e+00
0.00000000e+00 -1.20999409e-04 1.30500000e+00
0.00000000e+00 -1.21251989e-04 1.39200000e+00
0.00000000e+00 -1.19760305e-04 1.47900000e+00
0.00000000e+00 -1.16586356e-04 1.56600000e+00
0.00000000e+00 -1.11804439e-04 1.65300000e+00
0.00000000e+00 -1.05501743e-04 1.74000000e+00
0.00000000e+00 -9.77785200e-05 1.82700000e+00
0.00000000e+00 -8.87478517e-05 1.91400000e+00
0.00000000e+00 -7.85350800e-05 2.00100000e+00
0.00000000e+00 -6.72769266e-05 2.08800000e+00
0.00000000e+00 -5.51203547e-05 2.17500000e+00
0.00000000e+00 -4.22212096e-05 2.26200000e+00
0.00000000e+00 -2.87426761e-05 2.34900000e+00
0.00000000e+00 -1.48535856e-05 2.43600000e+00
0.00000000e+00 -7.26608826e-07 2.52300000e+00
0.00000000e+00 1.34636370e-05 2.61000000e+00
0.00000000e+00 2.75425344e-05 2.69700000e+00
0.00000000e+00 4.13374365e-05 2.78400000e+00
0.00000000e+00 5.46796339e-05 2.87100000e+00
0.00000000e+00 6.74062916e-05 2.95800000e+00
0.00000000e+00 7.93623268e-05 3.04500000e+00
0.00000000e+00 9.04022065e-05 3.13200000e+00
0.00000000e+00 1.00391639e-04 3.21900000e+00
0.00000000e+00 1.09209138e-04 3.30600000e+00
0.00000000e+00 1.16747441e-04 3.39300000e+00
0.00000000e+00 1.22914759e-04 3.48000000e+00
0.00000000e+00 1.27635852e-04 3.56700000e+00
0.00000000e+00 1.30852905e-04 3.65400000e+00
0.00000000e+00 1.32526200e-04 3.74100000e+00
0.00000000e+00 1.32634575e-04 3.82800000e+00
0.00000000e+00 1.31175663e-04 3.91500000e+00
0.00000000e+00 1.28165910e-04 4.00200000e+00
0.00000000e+00 1.23640366e-04 4.08900000e+00
0.00000000e+00 1.17652261e-04 4.17600000e+00
0.00000000e+00 1.10272357e-04 4.26300000e+00
0.00000000e+00 1.01588102e-04 4.35000000e+00
0.00000000e+00 9.17025730e-05 4.43700000e+00
0.00000000e+00 8.07332467e-05 4.52400000e+00
0.00000000e+00 6.88105869e-05 4.61100000e+00
0.00000000e+00 5.60764851e-05 4.69800000e+00
0.00000000e+00 4.26825617e-05 4.78500000e+00
0.00000000e+00 2.87883524e-05 4.87200000e+00
0.00000000e+00 1.45594006e-05 4.95900000e+00
0.00000000e+00 1.65277676e-07 5.04600000e+00
0.00000000e+00 -1.42224437e-05 5.13300000e+00
0.00000000e+00 -2.84322406e-05 5.22000000e+00
0.00000000e+00 -4.22946895e-05 5.30700000e+00
0.00000000e+00 -5.56444910e-05 5.39400000e+00
0.00000000e+00 -6.83224453e-05 5.48100000e+00
0.00000000e+00 -8.01773537e-05 5.56800000e+00
0.00000000e+00 -9.10678261e-05 5.65500000e+00
0.00000000e+00 -1.00863969e-04 5.74200000e+00
0.00000000e+00 -1.09448940e-04 5.82900000e+00
