fx fy fz
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 2.04178947e-15
0.00000000e+00 0.00000000e+00 -5.10447368e-15
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 1.12298421e-14
0.00000000e+00 0.00000000e+00 -1.12298421e-14
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 1.12298421e-14
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 -1.12298421e-14
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 2.34805789e-14
0.00000000e+00 0.00000000e+00 -2.34805789e-14
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 2.34805789e-14
0.00000000e+00 0.00000000e+00 -4.69611578e-14
0.00000000e+00 0.00000000e+00 4.69611578e-14
0.00000000e+00 0.00000000e+00 -4.69611578e-14
0.00000000e+00 0.00000000e+00 4.69611578e-14
0.00000000e+00 0.00000000e+00 -4.69611578e-14
0.00000000e+00 0.00000000e+00 4.69611578e-14
0.00000000e+00 0.00000000e+00 -4.69611578e-14
0.00000000e+00 0.00000000e+00 4.69611578e-14
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 -4.69611578e-14
0.00000000e+00 0.00000000e+00 4.69611578e-14
0.00000000e+00 0.00000000e+00 -4.69611578e-14
0.00000000e+00 0.00000000e+00 4.69611578e-14
