nx ny nz
0.00000000e+00 0.00000000e+00 0.00000000e+00
1.38631569e-03 0.00000000e+00 0.00000000e+00
1.36976227e-03 0.00000000e+00 0.00000000e+00
1.33685308e-03 0.00000000e+00 0.00000000e+00
1.28798109e-03 0.00000000e+00 0.00000000e+00
1.22372985e-03 0.00000000e+00 0.00000000e+00
1.14486656e-03 0.00000000e+00 0.00000000e+00
1.05233289e-03 0.00000000e+00 0.00000000e+00
9.47233753e-04 0.00000000e+00 0.00000000e+00
8.30824089e-04 0.00000000e+00 0.00000000e+00
7.04493899e-04 0.00000000e+00 0.00000000e+00
5.69751640e-04 0.00000000e+00 0.00000000e+00
4.28206213e-04 0.00000000e+00 0.00000000e+00
2.81547753e-04 0.00000000e+00 0.00000000e+00
1.31527448e-04 0.00000000e+00 0.00000000e+00
-2.00633713e-05 0.00000000e+00 0.00000000e+00
-1.71414623e-04 0.00000000e+00 0.00000000e+00
-3.20719083e-04 0.00000000e+00 0.00000000e+00
-4.66193970e-04 0.00000000e+00 0.00000000e+00
-6.06102228e-04 0.00000000e+00 0.00000000e+00
-7.38773270e-04 0.00000000e+00 0.00000000e+00
-8.62622927e-04 0.00000000e+00 0.00000000e+00
-9.76172362e-04 0.00000000e+00 0.00000000e+00
-1.07806573e-03 0.00000000e+00 0.00000000e+00
-1.16708636e-03 0.00000000e+00 0.00000000e+00
-1.24217129e-03 0.00000000e+00 0.00000000e+00
-1.30242398e-03 0.00000000e+00 0.00000000e+00
-1.34712495e-03 0.00000000e+00 0.00000000e+00
-1.37574047e-03 0.00000000e+00 0.00000000e+00
-1.38792884e-03 0.00000000e+00 0.00000000e+00
-1.38354453e-03 0.00000000e+00 0.00000000e+00
-1.36263989e-03 0.00000000e+00 0.00000000e+00
-1.32546453e-03 0.00000000e+00 0.00000000e+00
-1.27246235e-03 0.00000000e+00 0.00000000e+00
-1.20426622e-03 0.00000000e+00 0.00000000e+00
-1.12169045e-03 0.00000000e+00 0.00000000e+00
-1.02572104e-03 0.00000000e+00 0.00000000e+00
-9.17503914e-04 0.00000000e+00 0.00000000e+00
-7.98331259e-04 0.00000000e+00 0.00000000e+00
-6.69626061e-04 0.00000000e+00 0.00000000e+00
-5.32925137e-04 0.00000000e+00 0.00000000e+00
-3.89860774e-04 0.00000000e+00 0.00000000e+00
-2.42141245e-04 0.00000000e+00 0.00000000e+00
-9.15304085e-05 0.00000000e+00 0.00000000e+00
6.01733549e-05 0.00000000e+00 0.00000000e+00
2.11158613e-04 0.00000000e+00 0.00000000e+00
3.59622514e-04 0.00000000e+00 0.00000000e+00
5.03792312e-04 0.00000000e+00 0.00000000e+00
6.41946534e-04 0.00000000e+00 0.00000000e+00
7.72435540e-04 0.00000000e+00 0.00000000e+00
8.93701212e-04 0.00000000e+00 0.00000000e+00
1.00429557e-03 0.00000000e+00 0.00000000e+00
1.10289805e-03 0.00000000e+00 0.00000000e+00
1.18833128e-03 0.00000000e+00 0.00000000e+00
