ux uy uz
0.00000000e+00 5.54982847e+01 -1.75480784e-12
0.00000000e+00 4.83010300e+01 -1.86797160e-12
0.00000000e+00 3.60980071e+01 -1.92424602e-12
0.00000000e+00 2.00498037e+01 -1.90519483e-12
0.00000000e+00 1.84359094e+00 -1.81220199e-12
0.00000000e+00 -1.69329879e+01 -1.65066336e-12
0.00000000e+00 -3.51215517e+01 -1.42271290e-12
0.00000000e+00 -5.20158906e+01 -1.18203805e-12
0.00000000e+00 -6.72425890e+01 -1.10400718e-12
0.00000000e+00 -8.06293076e+01 -1.43209763e-12
0.00000000e+00 -9.21100463e+01 -2.26453220e-12
0.00000000e+00 -1.01669729e+02 -3.35203190e-12
0.00000000e+00 -1.09316233e+02 -4.13131531e-12
0.00000000e+00 -1.15068333e+02 -4.02091871e-12
0.00000000e+00 -1.18951826e+02 -2.75582494e-12
0.00000000e+00 -1.20999409e+02 -5.26722383e-13
0.00000000e+00 -1.21251989e+02 2.10062424e-12
0.00000000e+00 -1.19760305e+02 4.36703557e-12
0.00000000e+00 -1.16586356e+02 5.52412689e-12
0.00000000e+00 -1.11804439e+02 5.06218254e-12
0.00000000e+00 -1.05501743e+02 2.93460640e-12
0.00000000e+00 -9.77785200e+01 -3.50792983e-13
0.00000000e+00 -8.87478517e+01 -3.89128901e-12
0.00000000e+00 -7.85350800e+01 -6.72604325e-12
0.00000000e+00 -6.72769266e+01 -8.15322161e-12
0.00000000e+00 -5.51203547e+01 -7.91196453e-12
0.00000000e+00 -4.22212096e+01 -6.20678005e-12
0.00000000e+00 -2.87426761e+01 -3.59614656e-12
0.00000000e+00 -1.48535856e+01 -8.19007453e-13
0.00000000e+00 -7.26608826e-01 1.38131373e-12
0.00000000e+00 1.34636370e+01 2.44839314e-12
0.00000000e+00 2.75425344e+01 2.23618567e-12
0.00000000e+00 4.13374365e+01 1.15917614e-12
0.00000000e+00 5.46796339e+01 6.23144811e-14
0.00000000e+00 6.74062916e+01 -2.20433268e-13
0.00000000e+00 7.93623268e+01 6.92450395e-13
0.00000000e+00 9.04022065e+01 2.60245611e-12
0.00000000e+00 1.00391639e+02 4.89460503e-12
0.00000000e+00 1.09209138e+02 6.79936779e-12
0.00000000e+00 1.16747441e+02 7.65639409e-12
0.00000000e+00 1.22914759e+02 7.16683911e-12
0.00000000e+00 1.27635852e+02 5.54019401e-12
0.00000000e+00 1.30852905e+02 3.35189760e-12
0.00000000e+00 1.32526200e+02 1.11312545e-12
0.00000000e+00 1.32634575e+02 -1.08618938e-12
0.00000000e+00 1.31175663e+02 -3.49461950e-12
0.00000000e+00 1.28165910e+02 -6.22430477e-12
0.00000000e+00 1.23640366e+02 -8.80973676e-12
0.00000000e+00 1.17652261e+02 -1.02929857e-11
0.00000000e+00 1.10272357e+02 -9.90748932e-12
0.00000000e+00 1.01588102e+02 -7.69301225e-12
0.00000000e+00 9.17025730e+01 -4.32253211e-12
0.00000000e+00 8.07332467e+01 -4.76568342e-13
0.00000000e+00 6.88105869e+01 3.30301631e-12
0.00000000e+00 5.60764851e+01 6.30268126e-12
0.00000000e+00 4.26825617e+01 7.73310261e-12
0.00000000e+00 2.87883524e+01 7.32707940e-12
0.00000000e+00 1.45594006e+01 5.63830360e-12
0.00000000e+00 1.65277676e-01 3.71876653e-12
0.00000000e+00 -1.42224437e+01 2.54527963e-12
0.00000000e+00 -2.84322406e+01 2.45654214e-12
0.00000000e+00 -4.22946895e+01 2.88255329e-12
0.00000000e+00 -5.56444910e+01 2.79198889e-12
0.00000000e+00 -6.83224453e+01 1.58180899e-12
0.00000000e+00 -8.01773537e+01 -4.83420078e-13
0.00000000e+00 -9.10678261e+01 -2.55753993e-12
0.00000000e+00 -1.00863969e+02 -3.79450164e-12
0.00000000e+00 -1.09448940e+02 -3.93002718e-12
0.00000000e+00 -1.16720338e+02 -3.56748958e-12
0.00000000e+00 -1.22591435e+02 -3.73831720e-12
0.00000000e+00 -1.26992204e+02 -5.01188499e-12
0.00000000e+00 -1.29870161e+02 -7.04726177e-12
0.00000000e+00 -1.31190989e+02 -8.86232078e-12
0.00000000e+00 -1.30938950e+02 -9.39429038e-12
0.00000000e+00 -1.29117073e+02 -8.06965399e-12
0.00000000e+00 -1.25747115e+02 -5.12202019e-12
0.00000000e+00 -1.20869306e+02 -1.28878870e-12
0.00000000e+00 -1.14541864e+02 2.78677832e-12
0.00000000e+00 -1.06840302e+02 6.63733475e-12
0.00000000e+00 -9.78565261e+01 9.62027637e-12
0.00000000e+00 -8.76977372e+01 1.09995843e-11
0.00000000e+00 -7.64851508e+01 1.05438955e-11
0.00000000e+00 -6.43525485e+01 8.83007643e-12
0.00000000e+00 -5.14446807e+01 6.92571401e-12
0.00000000e+00 -3.79155370e+01 5.81968641e-12
0.00000000e+00 -2.39265067e+01 5.86203495e-12
0.00000000e+00 -9.64445057e+00 6.49460408e-12
0.00000000e+00 4.76029233e+00 6.69648785e-12
0.00000000e+00 1.91159403e+01 5.86392421e-12
