wx wy wz
1.33902337e+02 0.00000000e+00 0.00000000e+00
1.84477074e+02 0.00000000e+00 0.00000000e+00
2.28511767e+02 0.00000000e+00 0.00000000e+00
2.59038460e+02 0.00000000e+00 0.00000000e+00
2.73927260e+02 0.00000000e+00 0.00000000e+00
2.74909871e+02 0.00000000e+00 0.00000000e+00
2.65203948e+02 0.00000000e+00 0.00000000e+00
2.47836023e+02 0.00000000e+00 0.00000000e+00
2.25059716e+02 0.00000000e+00 0.00000000e+00
1.98397943e+02 0.00000000e+00 0.00000000e+00
1.68866964e+02 0.00000000e+00 0.00000000e+00
1.37181688e+02 0.00000000e+00 0.00000000e+00
1.03894695e+02 0.00000000e+00 0.00000000e+00
6.94779058e+01 0.00000000e+00 0.00000000e+00
3.43662440e+01 0.00000000e+00 0.00000000e+00
-1.02119460e+00 0.00000000e+00 0.00000000e+00
-3.62724983e+01 0.00000000e+00 0.00000000e+00
-7.09810253e+01 0.00000000e+00 0.00000000e+00
-1.04746992e+02 0.00000000e+00 0.00000000e+00
-1.37180809e+02 0.00000000e+00 0.00000000e+00
-1.67907206e+02 0.00000000e+00 0.00000000e+00
-1.96569627e+02 0.00000000e+00 0.00000000e+00
-2.22834594e+02 0.00000000e+00 0.00000000e+00
-2.46395876e+02 0.00000000e+00 0.00000000e+00
-2.66978337e+02 0.00000000e+00 0.00000000e+00
-2.84341415e+02 0.00000000e+00 0.00000000e+00
-2.98282155e+02 0.00000000e+00 0.00000000e+00
-3.08637771e+02 0.00000000e+00 0.00000000e+00
-3.15287717e+02 0.00000000e+00 0.00000000e+00
-3.18155214e+02 0.00000000e+00 0.00000000e+00
-3.17208254e+02 0.00000000e+00 0.00000000e+00
-3.12460049e+02 0.00000000e+00 0.00000000e+00
-3.03968922e+02 0.00000000e+00 0.00000000e+00
-2.91837661e+02 0.00000000e+00 0.00000000e+00
-2.76212326e+02 0.00000000e+00 0.00000000e+00
-2.57280536e+02 0.00000000e+00 0.00000000e+00
-2.35269252e+02 0.00000000e+00 0.00000000e+00
-2.10442092e+02 0.00000000e+00 0.00000000e+00
-1.83096196e+02 0.00000000e+00 0.00000000e+00
-1.53558695e+02 0.00000000e+00 0.00000000e+00
-1.22182816e+02 0.00000000e+00 0.00000000e+00
-8.93436751e+01 0.00000000e+00 0.00000000e+00
-5.54338068e+01 0.00000000e+00 0.00000000e+00
-2.08584839e+01 0.00000000e+00 0.00000000e+00
1.39691153e+01 0.00000000e+00 0.00000000e+00
4.86328355e+01 0.00000000e+00 0.00000000e+00
8.27185089e+01 0.00000000e+00 0.00000000e+00
1.15818897e+02 0.00000000e+00 0.00000000e+00
1.47538548e+02 0.00000000e+00 0.00000000e+00
1.77498521e+02 0.00000000e+00 0.00000000e+00
2.05340902e+02 0.00000000e+00 0.00000000e+00
2.30733080e+02 0.00000000e+00 0.00000000e+00
2.53371714e+02 0.00000000e+00 0.00000000e+00
2.72986354e+02 0.00000000e+00 0.00000000e+00
2.89342672e+02 0.00000000e+00 0.00000000e+00
3.02245253e+02 0.00000000e+00 0.00000000e+00
3.11539934e+02 0.00000000e+00 0.00000000e+00
3.17115636e+02 0.00000000e+00 0.00000000e+00
3.18905697e+02 0.00000000e+00 0.00000000e+00
3.16888663e+02 0.00000000e+00 0.00000000e+00
3.11088544e+02 0.00000000e+00 0.00000000e+00
3.01574529e+02 0.00000000e+00 0.00000000e+00
2.88460154e+02 0.00000000e+00 0.00000000e+00
2.71901952e+02 0.00000000e+00 0.00000000e+00
2.52097581e+02 0.00000000e+00 0.00000000e+00
2.29283460e+02 0.00000000e+00 0.00000000e+00
2.03731953e+02 0.00000000e+00 0.00000000e+00
1.75748110e+02 0.00000000e+00 0.00000000e+00
1.45666025e+02 0.00000000e+00 0.00000000e+00
1.13844851e+02 0.00000000e+00 0.00000000e+00
8.06645060e+01 0.00000000e+00 0.00000000e+00
4.65211392e+01 0.00000000e+00 0.00000000e+00
1.18223995e+01 0.00000000e+00 0.00000000e+00
-2.30174322e+01 0.00000000e+00 0.00000000e+00
-5.75823897e+01 0.00000000e+00 0.00000000e+00
-9.14597892e+01 0.00000000e+00 0.00000000e+00
-1.24245157e+02 0.00000000e+00 0.00000000e+00
-1.55547058e+02 0.00000000e+00 0.00000000e+00
-1.84991772e+02 0.00000000e+00 0.00000000e+00
-2.12227758e+02 0.00000000e+00 0.00000000e+00
-2.36929844e+02 0.00000000e+00 0.00000000e+00
-2.58803122e+02 0.00000000e+00 0.00000000e+00
-2.77586458e+02 0.00000000e+00 0.00000000e+00
-2.93055619e+02 0.00000000e+00 0.00000000e+00
-3.05025947e+02 0.00000000e+00 0.00000000e+00
-3.13354563e+02 0.00000000e+00 0.00000000e+00
-3.17942077e+02 0.00000000e+00 0.00000000e+00
-3.18733774e+02 0.00000000e+00 0.00000000e+00
-3.15720264e+02 0.00000000e+00 0.00000000e+00
-3.08937602e+02 0.00000000e+00 0.00000000e+00
-2.98466851e+02 0.00000000e+00 0.00000000e+00
-2.84433118e+02 0.00000000e+00 0.00000000e+00
-2.67004063e+02 0.00000000e+00 0.00000000e+00
-2.46387891e+02 0.00000000e+00 0.00000000e+00
-2.22830875e+02 0.00000000e+00 0.00000000e+00
-1.96614411e+02 0.00000000e+00 0.00000000e+00
-1.68051660e+02 0.00000000e+00 0.00000000e+00
-1.37483811e+02 0.00000000e+00 0.00000000e+00
-1.05276010e+02 0.00000000e+00 0.00000000e+00
-7.18129960e+01 0.00000000e+00 0.00000000e+00
-3.74945160e+01 0.00000000e+00 0.00000000e+00
-2.73054948e+00 0.00000000e+00 0.00000000e+00
3.20635829e+01 0.00000000e+00 0.00000000e+00
6.64721757e+01 0.00000000e+00 0.00000000e+00
1.00084099e+02 0.00000000e+00 0.00000000e+00
1.32497703e+02 0.00000000e+00 0.00000000e+00
1.63325609e+02 0.00000000e+00 0.00000000e+00
1.92199332e+02 0.00000000e+00 0.00000000e+00
2.18773670e+02 0.00000000e+00 0.00000000e+00
2.42730820e+02 0.00000000e+00 0.00000000e+00
2.63784165e+02 0.00000000e+00 0.00000000e+00
2.81681683e+02 0.00000000e+00 0.00000000e+00
2.96208945e+02 0.00000000e+00 0.00000000e+00
3.07191660e+02 0.00000000e+00 0.00000000e+00
3.14497736e+02 0.00000000e+00 0.00000000e+00
3.18038836e+02 0.00000000e+00 0.00000000e+00
3.17771407e+02 0.00000000e+00 0.00000000e+00
3.13697166e+02 0.00000000e+00 0.00000000e+00
3.05863039e+02 0.00000000e+00 0.00000000e+00
2.94360553e+02 0.00000000e+00 0.00000000e+00
2.79324689e+02 0.00000000e+00 0.00000000e+00
2.60932189e+02 0.00000000e+00 0.00000000e+00
2.39399368e+02 0.00000000e+00 0.00000000e+00
2.14979415e+02 0.00000000e+00 0.00000000e+00
1.87959247e+02 0.00000000e+00 0.00000000e+00
1.58655924e+02 0.00000000e+00 0.00000000e+00
1.27412672e+02 0.00000000e+00 0.00000000e+00
9.45945760e+01 0.00000000e+00 0.00000000e+00
6.05839695e+01 0.00000000e+00 0.00000000e+00
2.57756230e+01 0.00000000e+00 0.00000000e+00
-9.42818994e+00 0.00000000e+00 0.00000000e+00
-4.46225901e+01 0.00000000e+00 0.00000000e+00
-7.94047120e+01 0.00000000e+00 0.00000000e+00
-1.13377624e+02 0.00000000e+00 0.00000000e+00
-1.46152782e+02 0.00000000e+00 0.00000000e+00
-1.77349616e+02 0.00000000e+00 0.00000000e+00
-2.06589624e+02 0.00000000e+00 0.00000000e+00
-2.33480098e+02 0.00000000e+00 0.00000000e+00
-2.57578579e+02 0.00000000e+00 0.00000000e+00
-2.78322278e+02 0.00000000e+00 0.00000000e+00
-2.94896495e+02 0.00000000e+00 0.00000000e+00
-3.06005341e+02 0.00000000e+00 0.00000000e+00
-3.09512246e+02 0.00000000e+00 0.00000000e+00
-3.01985770e+02 0.00000000e+00 0.00000000e+00
-2.78427451e+02 0.00000000e+00 0.00000000e+00
-2.32993835e+02 0.00000000e+00 0.00000000e+00
-1.62102746e+02 0.00000000e+00 0.00000000e+00
-7.04533939e+01 0.00000000e+00 0.00000000e+00
2.40035179e+01 0.00000000e+00 0.00000000e+00
9.50568904e+01 0.00000000e+00 0.00000000e+00
1.28993145e+02 0.00000000e+00 0.00000000e+00
1.35185476e+02 0.00000000e+00 0.00000000e+00
1.43868085e+02 0.00000000e+00 0.00000000e+00
1.57850496e+02 0.00000000e+00 0.00000000e+00
1.71139670e+02 0.00000000e+00 0.00000000e+00
1.78045493e+02 0.00000000e+00 0.00000000e+00
1.77776912e+02 0.00000000e+00 0.00000000e+00
1.72229343e+02 0.00000000e+00 0.00000000e+00
1.63086690e+02 0.00000000e+00 0.00000000e+00
1.51051496e+02 0.00000000e+00 0.00000000e+00
1.36320273e+02 0.00000000e+00 0.00000000e+00
1.19087025e+02 0.00000000e+00 0.00000000e+00
9.97068129e+01 0.00000000e+00 0.00000000e+00
7.86467555e+01 0.00000000e+00 0.00000000e+00
5.63988229e+01 0.00000000e+00 0.00000000e+00
3.34283529e+01 0.00000000e+00 0.00000000e+00
1.01591268e+01 0.00000000e+00 0.00000000e+00
-1.30244761e+01 0.00000000e+00 0.00000000e+00
-3.57721832e+01 0.00000000e+00 0.00000000e+00
-5.77643630e+01 0.00000000e+00 0.00000000e+00
-7.87105564e+01 0.00000000e+00 0.00000000e+00
-9.83489822e+01 0.00000000e+00 0.00000000e+00
-1.16446295e+02 0.00000000e+00 0.00000000e+00
-1.32797336e+02 0.00000000e+00 0.00000000e+00
-1.47224881e+02 0.00000000e+00 0.00000000e+00
-1.59579420e+02 0.00000000e+00 0.00000000e+00
-1.69739023e+02 0.00000000e+00 0.00000000e+00
-1.77609267e+02 0.00000000e+00 0.00000000e+00
-1.83123196e+02 0.00000000e+00 0.00000000e+00
-1.86241257e+02 0.00000000e+00 0.00000000e+00
-1.86951180e+02 0.00000000e+00 0.00000000e+00
-1.85267726e+02 0.00000000e+00 0.00000000e+00
-1.81232287e+02 0.00000000e+00 0.00000000e+00
-1.74912289e+02 0.00000000e+00 0.00000000e+00
-1.66400375e+02 0.00000000e+00 0.00000000e+00
-1.55813360e+02 0.00000000e+00 0.00000000e+00
-1.43290938e+02 0.00000000e+00 0.00000000e+00
-1.28994152e+02 0.00000000e+00 0.00000000e+00
-1.13103617e+02 0.00000000e+00 0.00000000e+00
-9.58175246e+01 0.00000000e+00 0.00000000e+00
-7.73494378e+01 0.00000000e+00 0.00000000e+00
-5.79258949e+01 0.00000000e+00 0.00000000e+00
-3.77838533e+01 0.00000000e+00 0.00000000e+00
-1.71679997e+01 0.00000000e+00 0.00000000e+00
3.67204378e+00 0.00000000e+00 0.00000000e+00
2.44845845e+01 0.00000000e+00 0.00000000e+00
4.50187607e+01 0.00000000e+00 0.00000000e+00
6.50274460e+01 0.00000000e+00 0.00000000e+00
8.42701218e+01 0.00000000e+00 0.00000000e+00
1.02515683e+02 0.00000000e+00 0.00000000e+00
1.19545143e+02 0.00000000e+00 0.00000000e+00
1.35154204e+02 0.00000000e+00 0.00000000e+00
1.49155664e+02 0.00000000e+00 0.00000000e+00
1.61381625e+02 0.00000000e+00 0.00000000e+00
1.71685482e+02 0.00000000e+00 0.00000000e+00
1.79943658e+02 0.00000000e+00 0.00000000e+00
1.86057071e+02 0.00000000e+00 0.00000000e+00
1.89952316e+02 0.00000000e+00 0.00000000e+00
1.91582529e+02 0.00000000e+00 0.00000000e+00
1.90927951e+02 0.00000000e+00 0.00000000e+00
1.87996150e+02 0.00000000e+00 0.00000000e+00
1.82821931e+02 0.00000000e+00 0.00000000e+00
1.75466908e+02 0.00000000e+00 0.00000000e+00
1.66018762e+02 0.00000000e+00 0.00000000e+00
1.54590184e+02 0.00000000e+00 0.00000000e+00
1.41317517e+02 0.00000000e+00 0.00000000e+00
1.26359122e+02 0.00000000e+00 0.00000000e+00
1.09893476e+02 0.00000000e+00 0.00000000e+00
9.21170359e+01 0.00000000e+00 0.00000000e+00
7.32418896e+01 0.00000000e+00 0.00000000e+00
5.34932202e+01 0.00000000e+00 0.00000000e+00
3.31066207e+01 0.00000000e+00 0.00000000e+00
1.23252841e+01 0.00000000e+00 0.00000000e+00
-8.60289389e+00 0.00000000e+00 0.00000000e+00
-2.94282677e+01 0.00000000e+00 0.00000000e+00
-4.99024150e+01 0.00000000e+00 0.00000000e+00
-6.97810950e+01 0.00000000e+00 0.00000000e+00
-8.88271594e+01 0.00000000e+00 0.00000000e+00
-1.06813379e+02 0.00000000e+00 0.00000000e+00
-1.23525156e+02 0.00000000e+00 0.00000000e+00
-1.38763087e+02 0.00000000e+00 0.00000000e+00
-1.52345345e+02 0.00000000e+00 0.00000000e+00
-1.64109862e+02 0.00000000e+00 0.00000000e+00
-1.73916267e+02 0.00000000e+00 0.00000000e+00
-1.81647573e+02 0.00000000e+00 0.00000000e+00
-1.87211582e+02 0.00000000e+00 0.00000000e+00
-1.90541997e+02 0.00000000e+00 0.00000000e+00
-1.91599220e+02 0.00000000e+00 0.00000000e+00
-1.90370832e+02 0.00000000e+00 0.00000000e+00
-1.86871744e+02 0.00000000e+00 0.00000000e+00
-1.81144025e+02 0.00000000e+00 0.00000000e+00
-1.73256399e+02 0.00000000e+00 0.00000000e+00
-1.63303429e+02 0.00000000e+00 0.00000000e+00
-1.51404386e+02 0.00000000e+00 0.00000000e+00
-1.37701828e+02 0.00000000e+00 0.00000000e+00
-1.22359911e+02 0.00000000e+00 0.00000000e+00
-1.05562432e+02 0.00000000e+00 0.00000000e+00
-8.75106539e+01 0.00000000e+00 0.00000000e+00
-6.84209294e+01 0.00000000e+00 0.00000000e+00
-4.85221457e+01 0.00000000e+00 0.00000000e+00
-2.80530343e+01 0.00000000e+00 0.00000000e+00
-7.25937146e+00 0.00000000e+00 0.00000000e+00
1.36088953e+01 0.00000000e+00 0.00000000e+00
3.43005594e+01 0.00000000e+00 0.00000000e+00
5.45660713e+01 0.00000000e+00 0.00000000e+00
7.41604244e+01 0.00000000e+00 0.00000000e+00
9.28459747e+01 0.00000000e+00 0.00000000e+00
1.10395162e+02 0.00000000e+00 0.00000000e+00
1.26593098e+02 0.00000000e+00 0.00000000e+00
1.41240000e+02 0.00000000e+00 0.00000000e+00
1.54153425e+02 0.00000000e+00 0.00000000e+00
1.65170299e+02 0.00000000e+00 0.00000000e+00
1.74148710e+02 0.00000000e+00 0.00000000e+00
1.80969449e+02 0.00000000e+00 0.00000000e+00
1.85537297e+02 0.00000000e+00 0.00000000e+00
1.87782038e+02 0.00000000e+00 0.00000000e+00
1.87659219e+02 0.00000000e+00 0.00000000e+00
1.85150646e+02 0.00000000e+00 0.00000000e+00
1.80264658e+02 0.00000000e+00 0.00000000e+00
1.73036181e+02 0.00000000e+00 0.00000000e+00
1.63526611e+02 0.00000000e+00 0.00000000e+00
1.51823573e+02 0.00000000e+00 0.00000000e+00
1.38040593e+02 0.00000000e+00 0.00000000e+00
1.22316773e+02 0.00000000e+00 0.00000000e+00
1.04816496e+02 0.00000000e+00 0.00000000e+00
8.57292452e+01 0.00000000e+00 0.00000000e+00
6.52695240e+01 0.00000000e+00 0.00000000e+00
4.36768650e+01 0.00000000e+00 0.00000000e+00
2.12158593e+01 0.00000000e+00 0.00000000e+00
-1.82381538e+00 0.00000000e+00 0.00000000e+00
-2.51272678e+01 0.00000000e+00 0.00000000e+00
-4.83539771e+01 0.00000000e+00 0.00000000e+00
-7.11372282e+01 0.00000000e+00 0.00000000e+00
-9.30847744e+01 0.00000000e+00 0.00000000e+00
-1.13784075e+02 0.00000000e+00 0.00000000e+00
-1.32815950e+02 0.00000000e+00 0.00000000e+00
-1.49774616e+02 0.00000000e+00 0.00000000e+00
-1.64275824e+02 0.00000000e+00 0.00000000e+00
-1.75915164e+02 0.00000000e+00 0.00000000e+00
-1.84145700e+02 0.00000000e+00 0.00000000e+00
-1.88121548e+02 0.00000000e+00 0.00000000e+00
-1.86699355e+02 0.00000000e+00 0.00000000e+00
-1.78858182e+02 0.00000000e+00 0.00000000e+00
-1.64511496e+02 0.00000000e+00 0.00000000e+00
-1.44968086e+02 0.00000000e+00 0.00000000e+00
-1.21884075e+02 0.00000000e+00 0.00000000e+00
-9.48786654e+01 0.00000000e+00 0.00000000e+00
-6.09567340e+01 0.00000000e+00 0.00000000e+00
-1.89710006e+01 0.00000000e+00 0.00000000e+00
2.47106364e+01 0.00000000e+00 0.00000000e+00
1.33216871e+02 0.00000000e+00 0.00000000e+00
1.19618464e+02 0.00000000e+00 0.00000000e+00
1.19118467e+02 0.00000000e+00 0.00000000e+00
1.29810378e+02 0.00000000e+00 0.00000000e+00
1.38709814e+02 0.00000000e+00 0.00000000e+00
1.40050189e+02 0.00000000e+00 0.00000000e+00
1.37102544e+02 0.00000000e+00 0.00000000e+00
1.33653066e+02 0.00000000e+00 0.00000000e+00
1.29906497e+02 0.00000000e+00 0.00000000e+00
1.24175675e+02 0.00000000e+00 0.00000000e+00
1.15282745e+02 0.00000000e+00 0.00000000e+00
1.03202076e+02 0.00000000e+00 0.00000000e+00
8.85375361e+01 0.00000000e+00 0.00000000e+00
7.19495301e+01 0.00000000e+00 0.00000000e+00
